Binomial	ID	year	popvalue
Rangifer_tarandus	789	1983	49886
Peromyscus_maniculatus	35	1984	138
Tamiasciurus_hudsonicus	36	1984	1.33
Myodes_gapperi	40	1984	14
Sorex_cinereus	44	1984	1
Napaeozapus_insignis	45	1984	3
Tamias_striatus	46	1984	50
Blarina_brevicauda	47	1984	1
Blarina_brevicauda	49	1984	9.9
Halichoerus_grypus	97	1984	27201
Canis_lupus	105	1984	1.367
Canis_lupus	106	1984	2.098
Canis_lupus	109	1984	1.39
Canis_lupus	110	1984	0.891
Canis_lupus	113	1984	0.962
Odocoileus_virginianus	151	1984	1.71
Alces_americanus	173	1984	186
Rangifer_tarandus	180	1984	53786
Alces_americanus	182	1984	103961
Rangifer_tarandus	788	1984	253
Rangifer_tarandus	789	1984	54182
Peromyscus_maniculatus	35	1985	308.22
Tamiasciurus_hudsonicus	36	1985	4.89
Myodes_gapperi	40	1985	26
Sorex_cinereus	44	1985	3
Napaeozapus_insignis	45	1985	1
Tamias_striatus	46	1985	125
Blarina_brevicauda	47	1985	23
Blarina_brevicauda	49	1985	8.4
Halichoerus_grypus	97	1985	30080
Canis_lupus	105	1985	1.202
Canis_lupus	106	1985	2.099
Canis_lupus	108	1985	1.004
Canis_lupus	109	1985	0.823
Canis_lupus	110	1985	1.141
Canis_lupus	111	1985	0.974
Canis_lupus	113	1985	0.784
Rangifer_tarandus	131	1985	22
Odocoileus_virginianus	151	1985	1.88
Rangifer_tarandus	180	1985	58171
Alces_americanus	182	1985	108310
Rangifer_tarandus	788	1985	123
Rangifer_tarandus	789	1985	58495
Peromyscus_maniculatus	35	1986	67.56
Tamiasciurus_hudsonicus	36	1986	0.89
Myodes_gapperi	40	1986	16
Sorex_cinereus	44	1986	9
Napaeozapus_insignis	45	1986	7
Tamias_striatus	46	1986	48
Blarina_brevicauda	47	1986	5
Blarina_brevicauda	49	1986	7.2
Halichoerus_grypus	97	1986	33439
Canis_lupus	105	1986	0.995
Canis_lupus	106	1986	1.502
Canis_lupus	109	1986	1.047
Canis_lupus	110	1986	0.906
Canis_lupus	111	1986	0.929
Odocoileus_virginianus	151	1986	2.33
Rangifer_tarandus	180	1986	62347
Alces_americanus	182	1986	113722
Rangifer_tarandus	788	1986	251
Rangifer_tarandus	789	1986	62809
Peromyscus_maniculatus	35	1987	92.67
Tamiasciurus_hudsonicus	36	1987	1.33
Myodes_gapperi	40	1987	22
Sorex_cinereus	44	1987	10
Napaeozapus_insignis	45	1987	3
Tamias_striatus	46	1987	16
Blarina_brevicauda	47	1987	15
Blarina_brevicauda	49	1987	9.9
Megaptera_novaeangliae	88	1987	10.12
Balaenoptera_musculus	89	1987	22.97
