Species,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aplodinotus_grunniens,1,-0.00595391853217619,-0.00605267960662864,-0.00615955912206523,-0.00627294080314406,-0.00638804131306814,-0.00649849246738854,-0.00660034357276323,-0.00669329649135891,-0.00677789008503116,-0.006852975905696,-0.00691704612579069,-0.00697105023263023,-0.00701810454901275,-0.00706016399626885,-0.00709618768271714,-0.00712405426227924,-0.00714317284477684,-0.00715429657763844,-0.00715766176811539,-0.00715301660661605,-0.00714190719801555,-0.00712878888745583,-0.00711872796260415,-0.00711390026052006,-0.0071127540286704,NA,NA,NA
Catostomus_commersonii,1,-0.0186486098079783,-0.0186486098079549,-0.0186486098079346,-0.0186486098079216,-0.0186486098079186,-0.0186486098079256,-0.0186486098079402,-0.0186486098079579,-0.0186486098079736,-0.0186486098079835,-0.0186486098079899,-0.0186486098079997,-0.0186486098080191,-0.0186486098080478,-0.0186486098080823,-0.0186486098081202,-0.0186486098081615,-0.0186486098082056,-0.0186486098082491,-0.0186486098082892,-0.0186486098083244,-0.0186486098083526,-0.0186486098083707,-0.0186486098083778,-0.0186486098083787,NA,NA,NA
Cyprinus_carpio,1,-0.0224081106801335,-0.022408110680209,-0.0224081106802811,-0.0224081106803452,-0.0224081106803992,-0.0224081106804419,-0.0224081106804779,-0.0224081106805081,-0.0224081106805312,-0.022408110680543,-0.0224081106805433,-0.0224081106805341,-0.0224081106805185,-0.0224081106804959,-0.0224081106804697,-0.0224081106804419,-0.0224081106804086,-0.0224081106803717,-0.0224081106803289,-0.0224081106802865,-0.0224081106802463,-0.0224081106802136,-0.0224081106801937,-0.0224081106801839,-0.0224081106801819,NA,NA,NA
Dorosoma_cepedianum,1,0.0955883331300386,-0.293763542183281,-0.56275047344914,-0.509636152103408,-0.22811564643577,0.00832852085605995,0.135685399455855,0.153954989363729,0.0803386448918599,-0.00555653909186793,-0.0489468026126376,-0.0615276873066606,-0.0526251469114101,-0.0370457771196118,-0.0184912268548489,0.0030385038822347,0.0275434150931246,0.0550235067766203,0.0854787789328648,0.123140863203408,0.184936286151349,0.254916326692944,0.249850777142469,0.15884767707642,0.0723564774386124,NA,NA,NA
Esox_lucius,1,0.277793855526764,0.0979092837223721,-0.122609745362113,-0.141047647107017,-0.0210218119506169,0.0433986626762666,0.0261640226408313,0.0258930253281078,0.0546748411962676,0.0572619957655471,0.0654800830992703,0.137025832496193,0.176900637448489,0.0383933690698273,-0.182156018112611,-0.19414804458118,0.0456812115184151,0.181120597768951,-0.0512526081712247,-0.369105567479096,-0.293046087268053,0.129194922466032,0.322333378105598,-0.00739314291455195,-0.438459708572424,NA,NA,NA
Ictalurus_punctatus,1,-0.0198304810223601,-0.0201589798819265,-0.0204655999814848,-0.0207376843154,-0.0209736759548134,-0.0211813906347026,-0.021370447748001,-0.0215440601443804,-0.0216954838924312,-0.0218119543870702,-0.0218848994323147,-0.021919464551884,-0.0219338902285575,-0.021946997612572,-0.0219653019153784,-0.0219835487482249,-0.021997342511646,-0.0220115823648018,-0.0220342136921069,-0.022064637730985,-0.0220929235682501,-0.0221105344580024,-0.0221179918128472,-0.0221209016624926,-0.0221224027278339,NA,NA,NA
Micropterus_dolomieu,1,-0.0184419310494675,-0.0794637890223673,-0.133970080786003,-0.16675146291951,-0.143823983328662,-0.0604929147029484,0.0243154326093377,0.0346154299744226,-0.0373606248066027,-0.114358906446837,-0.113731609234869,-0.0310039044375853,0.0660703100316842,0.113233489073367,0.101673938660922,0.0619046031357096,0.0220993626946491,-0.00665642279636181,-0.0210637399414327,-0.0224031543136387,-0.0213116723919503,-0.0304861130024053,-0.0480092796507406,-0.0576539541798016,-0.0509134913396883,-0.039702523355953,NA,NA
Morone_americana,1,-0.157636270283062,-0.0756383709252579,-0.0315875031458775,-0.0702661485917541,-0.12746447697148,-0.11536885801169,-0.0306793391306343,0.0501214297026043,0.0720788352472567,0.0607232533787739,0.0331986811430875,0.0450784580728059,0.0562970695680128,0.0661459056565802,-0.201686976467563,0.0396618165335252,0.041278288052306,0.040657713435272,0.344687817180765,0.339445319982885,0.055148801474362,0.0513016053750162,0.0501258605900016,0.048754833313045,0.0472830721715368,NA,NA,NA
Moxostoma_anisurum,1,-0.11997531707675,-0.0871501757189003,-0.176091259055681,-0.176091259055681,0.176091259055681,-0.778151250383644,0.812913356642856,-0.0347621062592121,NA,NA,-0.380211241711606,0.531478917042255,NA,NA,-0.104735350520013,-1,0,0.602059991327962,-0.0579919469776866,-0.243038048686294,0.0880456295278405,0.0880456295278407,0,NA,NA,NA,NA,NA
Lepomis_gibbosus,1,-0.0865938295084051,-0.097496859526613,-0.0947283620450593,-0.0746378624693732,-0.0380014548566491,0.00842709442160872,0.0530599878974409,0.0846541007368966,0.0984861191176256,0.0975313141884551,0.0873199793090409,0.0705824984189953,0.0473446702064678,0.0183726180872946,-0.0134417998954863,-0.0441176903561059,-0.0689540670268473,-0.0830074056634309,-0.0847813211468057,-0.0803339810920508,-0.0806069560152098,-0.092124346982321,-0.111154569582523,-0.128155240192762,-0.136758600003113,NA,NA,NA
