population_id,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
233,1,-0.00595391853217619,-0.00605267960662864,-0.00615955912206523,-0.00627294080314406,-0.00638804131306814,-0.00649849246738854,-0.00660034357276323,-0.00669329649135891,-0.00677789008503116,-0.006852975905696,-0.00691704612579069,-0.00697105023263023,-0.00701810454901275,-0.00706016399626885,-0.00709618768271714,-0.00712405426227924,-0.00714317284477684,-0.00715429657763844,-0.00715766176811539,-0.00715301660661605,-0.00714190719801555,-0.00712878888745583,-0.00711872796260415,-0.00711390026052006,-0.0071127540286704,-1,-1,-1
235,1,-0.0186486098079783,-0.0186486098079549,-0.0186486098079346,-0.0186486098079216,-0.0186486098079186,-0.0186486098079256,-0.0186486098079402,-0.0186486098079579,-0.0186486098079736,-0.0186486098079835,-0.0186486098079899,-0.0186486098079997,-0.0186486098080191,-0.0186486098080478,-0.0186486098080823,-0.0186486098081202,-0.0186486098081615,-0.0186486098082056,-0.0186486098082491,-0.0186486098082892,-0.0186486098083244,-0.0186486098083526,-0.0186486098083707,-0.0186486098083778,-0.0186486098083787,-1,-1,-1
237,1,-0.0224081106801335,-0.022408110680209,-0.0224081106802811,-0.0224081106803452,-0.0224081106803992,-0.0224081106804419,-0.0224081106804779,-0.0224081106805081,-0.0224081106805312,-0.022408110680543,-0.0224081106805433,-0.0224081106805341,-0.0224081106805185,-0.0224081106804959,-0.0224081106804697,-0.0224081106804419,-0.0224081106804086,-0.0224081106803717,-0.0224081106803289,-0.0224081106802865,-0.0224081106802463,-0.0224081106802136,-0.0224081106801937,-0.0224081106801839,-0.0224081106801819,-1,-1,-1
239,1,0.0955883331300386,-0.293763542183281,-0.56275047344914,-0.509636152103408,-0.22811564643577,0.00832852085605995,0.135685399455855,0.153954989363729,0.0803386448918599,-0.00555653909186793,-0.0489468026126376,-0.0615276873066606,-0.0526251469114101,-0.0370457771196118,-0.0184912268548489,0.0030385038822347,0.0275434150931246,0.0550235067766203,0.0854787789328648,0.123140863203408,0.184936286151349,0.254916326692944,0.249850777142469,0.15884767707642,0.0723564774386124,-1,-1,-1
240,1,0.277793855526764,0.0979092837223721,-0.122609745362113,-0.141047647107017,-0.0210218119506169,0.0433986626762666,0.0261640226408313,0.0258930253281078,0.0546748411962676,0.0572619957655471,0.0654800830992703,0.137025832496193,0.176900637448489,0.0383933690698273,-0.182156018112611,-0.19414804458118,0.0456812115184151,0.181120597768951,-0.0512526081712247,-0.369105567479096,-0.293046087268053,0.129194922466032,0.322333378105598,-0.00739314291455195,-0.438459708572424,-1,-1,-1
433,1,-0.0198304810223601,-0.0201589798819265,-0.0204655999814848,-0.0207376843154,-0.0209736759548134,-0.0211813906347026,-0.021370447748001,-0.0215440601443804,-0.0216954838924312,-0.0218119543870702,-0.0218848994323147,-0.021919464551884,-0.0219338902285575,-0.021946997612572,-0.0219653019153784,-0.0219835487482249,-0.021997342511646,-0.0220115823648018,-0.0220342136921069,-0.022064637730985,-0.0220929235682501,-0.0221105344580024,-0.0221179918128472,-0.0221209016624926,-0.0221224027278339,-1,-1,-1
535,1,-0.0184419310494675,-0.0794637890223673,-0.133970080786003,-0.16675146291951,-0.143823983328662,-0.0604929147029484,0.0243154326093377,0.0346154299744226,-0.0373606248066027,-0.114358906446837,-0.113731609234869,-0.0310039044375853,0.0660703100316842,0.113233489073367,0.101673938660922,0.0619046031357096,0.0220993626946491,-0.00665642279636181,-0.0210637399414327,-0.0224031543136387,-0.0213116723919503,-0.0304861130024053,-0.0480092796507406,-0.0576539541798016,-0.0509134913396883,-0.039702523355953,-1,-1
541,1,-0.122515510776149,-0.134239430716312,-0.144842396083524,-0.146489273083459,-0.132806903497061,-0.104005591373181,-0.0669145087692615,-0.0305718722324608,-0.00143645220724259,0.0189426301437497,0.0331986811430875,0.0450784580728059,0.0562970695680128,0.0661459056565802,0.0737473017845355,0.0793236330670505,0.0825565761046121,0.081315426870544,0.0741511736723929,0.0636661792766329,0.055148801474362,0.0513016053750162,0.0501258605900016,0.048754833313045,0.0472830721715368,-1,-1,-1
70,1,-0.192757029789974,-0.0170373111342037,0.0816673897917691,0.00595697589995126,-0.122122050445899,-0.1267321246502,0.00555583050799291,0.130814731637669,0.145594122701756,0.102503876613798,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
537,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.477121254719662,0,0,0,0.615224460689137,0.615224460689137,-1,-1,-1,-1,-1,-1,-1,-1
569,1,-0.11997531707675,-0.0871501757189003,-0.176091259055681,-0.176091259055681,0.176091259055681,-0.778151250383644,0.812913356642856,-0.0347621062592121,-1,-1,-0.380211241711606,0.531478917042255,-1,-1,-0.104735350520013,-1.21748394421391,0,0.602059991327962,-0.0579919469776866,-0.243038048686294,0.0880456295278405,0.0880456295278407,0,-1,-1,-1,-1,-1
435,1,-0.0865938295084051,-0.097496859526613,-0.0947283620450593,-0.0746378624693732,-0.0380014548566491,0.00842709442160872,0.0530599878974409,0.0846541007368966,0.0984861191176256,0.0975313141884551,0.0873199793090409,0.0705824984189953,0.0473446702064678,0.0183726180872946,-0.0134417998954863,-0.0441176903561059,-0.0689540670268473,-0.0830074056634309,-0.0847813211468057,-0.0803339810920508,-0.0806069560152098,-0.092124346982321,-0.111154569582523,-0.128155240192762,-0.136758600003113,-1,-1,-1
588,1,0,0.034080089622833,0.034080089622833,0.034080089622833,0.034080089622833,0.034080089622833,0.034080089622833,0.0340800896228328,0.034080089622833,0.034080089622833,0.034080089622833,0.034080089622833,0.034080089622833,0.034080089622833,0.034080089622833,-0.477121254719662,0.0752574989159953,0.0752574989159953,0.0752574989159953,0.0752574989159953,-0.301029995663981,0,-1,-1,-1,-1,-1,-1
544,1,-1,-1,-0.349485002168009,0.0602059991327963,0.0602059991327961,0.0602059991327961,0.0602059991327963,0.0602059991327963,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
543,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.367976785294594,-0.104735350520013,0,0.237360915794604,-0.400816173116583,-0.400816173116583,0.669006780958576,0.0281069619000119,0.0281069619000121,0.0281069619000119,-0.32735893438633,0,0,0,-1,-1,-1
542,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0289959734888434,-0.0289959734888434,-0.0393425964509287,-0.0393425964509286,-0.350977428942741,-0.35097742894274,0.206331632746372,0.206331632746372,-0.111633269828763,-1,-1,-1
234,1,0.301029995663981,-0.15051499783199,-0.150514997831991,0,0,0,0,0,0.0200686663775986,0.0200686663775986,0.0200686663775989,0.0200686663775989,0.0200686663775986,0.0200686663775989,0.0200686663775986,0.0200686663775989,0.0200686663775986,0.0200686663775986,0.0200686663775989,0.0200686663775989,0.0200686663775986,0.0200686663775989,0.0200686663775986,-0.602059991327962,0,-1,-1,-1
672,1,0.00212477926432131,0.00212477926424759,0.00212477926417143,0.00212477926409371,0.00212477926401844,0.00212477926394694,0.00212477926388077,0.00212477926381616,0.00212477926375532,0.00212477926368648,0.00212477926360854,0.00212477926352372,0.00212477926342935,0.00212477926333321,0.00212477926323684,0.00212477926314003,0.00212477926305032,0.00212477926296351,0.00212477926288335,0.00212477926281496,0.00212477926276189,0.00212477926272525,0.00212477926270482,0.00212477926269683,-1,-1,-1,-1
8,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
123,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0895351737112899,0.0895351737115146,0.0895351737119445,0.0895351737125152,0.0895351737131675,0.0895351737138874,0.0895351737146561,0.0895351737153884,0.0895351737159609,0.0895351737162966,0.0895351737164214,0.089535173716436,-1,-1,-1,-1,-1
69,1,0.0588138290515854,0.0511397478472415,0.0415279192058162,0.0307328440987433,0.0200865663114362,0.0107042369451231,0.00317197546661285,-0.00230224689853942,-0.00569085397750402,-0.00717825369313574,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
439,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.228614601677,0.458602553444184,-0.173416936828938,0.462712397370559,-0.925208631302227,-0.0961983046962969,-1,-1,-1,-1,-1,-1,-1,-1
440,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.342534195646777,-0.318665855472084,0.697807233944226,-0.0823129100815585,0.610284719382121,-1.04506758655236,-1,-1,-1,-1,-1,-1,-1,-1
442,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.337307424124874,-0.095625539400972,0.0298563288906495,-0.146793748752682,-0.197846383806815,-0.119457454569423,-1,-1,-1,-1,-1,-1,-1,-1
446,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.394958178803493,0.417607198575603,0.738632362719774,-0.378291337647188,-0.672500131098572,0.897440821836738,-1,-1,-1,-1,-1,-1,-1,-1
448,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.093374353193151,0.401629004627598,-0.242048094609431,-0.671235079751074,0.310458740094299,0.201011989516809,-1,-1,-1,-1,-1,-1,-1,-1
452,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.710235701747937,0.0111363661179595,-0.56936744213555,0.763924141159058,-0.503747297098214,0.0503463051369666,-1,-1,-1,-1,-1,-1,-1,-1
453,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.356770299093435,0.525534611158281,-0.659445400083748,0.866831980926881,-0.688218191167158,-0.351344920008137,-1,-1,-1,-1,-1,-1,-1,-1
455,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.184924410155574,-0.161888532209409,-0.584270132137307,0.505088886089683,0.0305669802814257,0.12845971123878,-1,-1,-1,-1,-1,-1,-1,-1
456,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.125996701764634,0.116132463823486,0.854017513498761,-1.1378042587223,0.586783589142033,0.629692279955993,-1,-1,-1,-1,-1,-1,-1,-1
